condition,day,bio_rep,tech_rep,progenitors,glial
DMSO,22,3,4,0.02459016393442623,0.04918032786885246
DMSO,22,3,5,0.11494252873563218,0.04597701149425287
DMSO,22,3,6,0.0449438202247191,0.06741573033707865
DMSO,22,3,7,0.09615384615384616,0.038461538461538464
DMSO,22,3,8,0.1320754716981132,0.18867924528301888
DMSO,22,3,9,0.09316770186335403,0.018633540372670808
DMSO,22,3,10,0.05172413793103448,0.13793103448275862
DMSO,22,3,11,0.12,0.1
DMSO,22,3,12,0.05154639175257732,0.09278350515463918
DMSO,22,3,13,0.06,0.04
DMSO,22,3,14,0.09433962264150944,0.1509433962264151
DMSO,22,3,15,0.14,0.05
DAPT,15,3,1,0.06481481481481481,0.3333333333333333
DAPT,15,3,2,0.22660098522167488,0.04926108374384237
DAPT,15,3,3,0.2624113475177305,0.07801418439716312
DAPT,15,3,4,0.25477707006369427,0.05732484076433121
DAPT,15,3,5,0.02830188679245283,0.25471698113207547
DAPT,15,3,6,0.11267605633802817,0.19718309859154928
DAPT,15,3,7,0.05660377358490566,0.2830188679245283
DAPT,15,3,8,0.31,0.11
DAPT,15,3,9,0.175,0.25
DAPT,15,3,10,0.24761904761904763,0.2
DAPT,15,3,11,0.05806451612903226,0.1032258064516129
DAPT,15,3,12,0.05405405405405406,0.25225225225225223
DAPT,15,3,13,0.02666666666666667,0.16
DAPT,15,3,14,0.05194805194805195,0.2077922077922078
DAPT,15,3,15,0.05263157894736842,0.18947368421052632
DAPT,22,3,1,0.12790697674418605,0.12790697674418605
DAPT,22,3,2,0.19718309859154928,0.16901408450704225
DAPT,22,3,3,0.16216216216216217,0.2972972972972973
DAPT,22,3,4,0.08571428571428572,0.34285714285714286
DAPT,22,3,5,0.16,0.56
DAPT,22,3,6,0.16,0.48
DAPT,22,3,7,0.16666666666666666,0.11538461538461539
DAPT,22,3,8,0.08536585365853659,0.14634146341463414
DAPT,22,3,9,0.11392405063291139,0.26582278481012656
DAPT,22,3,10,0.16853932584269662,0.0898876404494382
DAPT,22,3,11,0.15,0.1
DAPT,22,3,12,0.14942528735632185,0.06896551724137931
DAPT,22,3,13,0.189873417721519,0.06329113924050633
DAPT,22,3,14,0.1232876712328767,0.0958904109589041
DAPT,22,3,15,0.17045454545454544,0.06818181818181818
DMSO,15,4,1,0.1504424778761062,0.07964601769911504
DMSO,15,4,2,0.2248062015503876,0.06976744186046512
DMSO,15,4,3,0.09615384615384616,0.10576923076923077
DMSO,15,4,4,0.26666666666666666,0.08888888888888889
DMSO,15,4,5,0.08284023668639054,0.07100591715976332
DMSO,15,4,6,0.039473684210526314,0.05263157894736842
DMSO,15,4,7,0.02631578947368421,0.06315789473684211
DMSO,15,4,8,0.06818181818181818,0.031818181818181815
DMSO,15,4,9,0.03773584905660377,0.018867924528301886
DMSO,15,4,10,0.0896551724137931,0.020689655172413793
DMSO,15,4,11,0.058823529411764705,0.0196078431372549
DMSO,15,4,12,0.14018691588785046,0.07476635514018691
DMSO,15,4,13,0.08433734939759036,0.04216867469879518
DMSO,15,4,14,0.1493212669683258,0.04072398190045249
DMSO,15,4,15,0.23880597014925373,0.08955223880597014
DMSO,22,4,1,0.042105263157894736,0.07368421052631578
DMSO,22,4,2,0.06611570247933884,0.11570247933884298
DMSO,22,4,3,0.05921052631578947,0.039473684210526314
DMSO,22,4,4,0.05847953216374269,0.04678362573099415
DMSO,22,4,5,0.04568527918781726,0.030456852791878174
