condition,day,bio_rep,tech_rep,neural
DMSO,22,3,2,0.39705882352941174
DMSO,22,3,3,0.3978494623655914
DMSO,22,3,4,0.18584070796460178
DMSO,22,3,5,0.42857142857142855
DMSO,22,3,6,0.5540540540540541
DMSO,22,3,7,0.043795620437956206
DMSO,22,3,8,0.23076923076923078
DMSO,22,3,9,0.21487603305785125
DMSO,22,3,10,0.13445378151260504
DMSO,22,3,11,0.12087912087912088
DMSO,22,3,12,0.3235294117647059
DMSO,22,3,13,0.1527777777777778
DMSO,22,3,14,0.2988505747126437
DMSO,22,3,15,0.2318840579710145
DAPT,15,3,1,0.5353982300884956
DAPT,15,3,2,0.1506849315068493
DAPT,15,3,3,0.32620320855614976
DAPT,15,3,4,0.28272251308900526
DAPT,15,3,5,0.4039408866995074
DAPT,15,3,6,0.2345679012345679
DAPT,15,3,7,0.24855491329479767
DAPT,15,3,8,0.2
DAPT,15,3,9,0.39097744360902253
DAPT,15,3,10,0.2826086956521739
DAPT,15,3,11,0.14166666666666666
DAPT,15,3,12,0.20238095238095238
DAPT,15,3,13,0.3053097345132743
DAPT,15,3,14,0.5360824742268041
DAPT,15,3,15,0.5621301775147929
DAPT,15,3,16,0.30097087378640774
DAPT,15,3,17,0.2389937106918239
DAPT,15,3,18,0.21052631578947367
DAPT,15,3,19,0.09345794392523364
DAPT,15,3,20,0.21686746987951808
DAPT,15,3,21,0.23414634146341465
DAPT,15,3,22,0.25555555555555554
DAPT,15,3,23,0.193717277486911
DAPT,15,3,24,0.768
DAPT,15,3,25,0.44751381215469616
DAPT,15,3,26,0.296137339055794
DAPT,15,3,27,0.3106796116504854
DAPT,15,3,28,0.3894736842105263
DAPT,15,3,29,0.3269230769230769
DAPT,15,3,30,0.4247787610619469
DAPT,22,3,1,0.3695652173913043
DAPT,22,3,2,0.84
DAPT,22,3,3,0.3763440860215054
DAPT,22,3,4,0.5280898876404494
DAPT,22,3,5,0.5705128205128205
DAPT,22,3,6,0.6126126126126126
DAPT,22,3,7,0.8441558441558441
DAPT,22,3,8,0.23295454545454544
DAPT,22,3,9,0.28205128205128205
DAPT,22,3,10,0.44339622641509435
DAPT,22,3,11,0.7522123893805309
DAPT,22,3,12,0.4125
DAPT,22,3,13,0.30434782608695654
DAPT,22,3,14,0.7439024390243902
DAPT,22,3,15,0.8961038961038961
DMSO,15,4,1,0.18787878787878787
DMSO,15,4,2,0.09333333333333334
DMSO,15,4,3,0.06132075471698113
DMSO,15,4,4,0.11737089201877934
DMSO,15,4,5,0.26865671641791045
DMSO,15,4,6,0.14215686274509803
DMSO,15,4,7,0.2702702702702703
DMSO,15,4,8,0.28368794326241137
DMSO,15,4,9,0.12048192771084337
DMSO,15,4,10,0.047337278106508875
DMSO,15,4,11,0.019736842105263157
DMSO,15,4,12,0.12337662337662338
DMSO,15,4,13,0.08275862068965517
DMSO,15,4,14,0.10185185185185185
DMSO,15,4,15,0.38392857142857145
