condition,day,bio_rep,tech_rep,total_cells,total_hucd,neurons_percentage,contaminants_percentage
dapt,15,3,29,208,68,32.69230769,67.30769231
dapt,15,3,30,226,96,42.47787611,57.52212389
dapt,22,3,1,46,17,36.95652174,63.04347826
dapt,22,3,2,75,63,84,16
dapt,22,3,3,93,35,37.6344086,62.3655914
dapt,22,3,4,89,47,52.80898876,47.19101124
dapt,22,3,5,156,89,57.05128205,42.94871795
dapt,22,3,6,111,68,61.26126126,38.73873874
dapt,22,3,7,77,65,84.41558442,15.58441558
dapt,22,3,8,176,41,23.29545455,76.70454545
dapt,22,3,9,78,22,28.20512821,71.79487179
dapt,22,3,10,106,47,44.33962264,55.66037736
dapt,22,3,11,113,85,75.22123894,24.77876106
dapt,22,3,12,80,33,41.25,58.75
dapt,22,3,13,92,28,30.43478261,69.56521739
dapt,22,3,14,82,61,74.3902439,25.6097561
dapt,22,3,15,77,69,89.61038961,10.38961039
dmso,15,4,1,165,31,18.78787879,81.21212121
dmso,15,4,2,150,14,9.333333333,90.66666667
dmso,15,4,3,212,13,6.132075472,93.86792453
dmso,15,4,4,213,25,11.7370892,88.2629108
dmso,15,4,5,134,36,26.86567164,73.13432836
dmso,15,4,6,204,29,14.21568627,85.78431373
dmso,15,4,7,111,30,27.02702703,72.97297297
dmso,15,4,8,141,40,28.36879433,71.63120567
dmso,15,4,9,166,20,12.04819277,87.95180723
dmso,15,4,10,169,8,4.733727811,95.26627219
dmso,15,4,11,152,3,1.973684211,98.02631579
dmso,15,4,12,154,19,12.33766234,87.66233766
dmso,15,4,13,145,12,8.275862069,91.72413793
dmso,15,4,14,216,22,10.18518519,89.81481481
dmso,15,4,15,112,43,38.39285714,61.60714286
dmso,15,4,16,121,18,14.87603306,85.12396694
dmso,15,4,17,245,10,4.081632653,95.91836735
dmso,15,4,18,275,27,9.818181818,90.18181818
dmso,15,4,19,150,14,9.333333333,90.66666667
dmso,15,4,20,142,17,11.97183099,88.02816901
dmso,15,4,21,228,46,20.1754386,79.8245614
dmso,15,4,22,237,11,4.641350211,95.35864979
dmso,15,4,23,139,18,12.94964029,87.05035971
dmso,15,4,24,175,9,5.142857143,94.85714286
dmso,15,4,25,161,18,11.18012422,88.81987578
dmso,15,4,26,181,38,20.99447514,79.00552486
dmso,15,4,27,222,15,6.756756757,93.24324324
dmso,15,4,28,173,15,8.670520231,91.32947977
dmso,15,4,29,196,8,4.081632653,95.91836735
dmso,15,4,30,157,26,16.56050955,83.43949045
dmso,22,4,1,112,10,8.928571429,91.07142857
dmso,22,4,2,116,33,28.44827586,71.55172414
dmso,22,4,3,78,14,17.94871795,82.05128205
dmso,22,4,4,115,21,18.26086957,81.73913043
dmso,22,4,5,90,10,11.11111111,88.88888889
dmso,22,4,6,104,8,7.692307692,92.30769231
dmso,22,4,7,74,15,20.27027027,79.72972973
dmso,22,4,8,88,16,18.18181818,81.81818182
dmso,22,4,9,124,17,13.70967742,86.29032258
dmso,22,4,10,118,12,10.16949153,89.83050847
dmso,22,4,11,108,26,24.07407407,75.92592593
dmso,22,4,12,110,32,29.09090909,70.90909091
dmso,22,4,13,82,10,12.19512195,87.80487805
dmso,22,4,14,152,4,2.631578947,97.36842105
dmso,22,4,15,106,4,3.773584906,96.22641509
dapt,15,4,1,92,30,32.60869565,67.39130435
dapt,15,4,2,100,31,31,69
dapt,15,4,3,156,43,27.56410256,72.43589744
dapt,15,4,4,83,49,59.03614458,40.96385542
dapt,15,4,5,109,39,35.77981651,64.22018349
dapt,15,4,6,154,37,24.02597403,75.97402597
dapt,15,4,7,144,25,17.36111111,82.63888889
dapt,15,4,8,107,16,14.95327103,85.04672897
dapt,15,4,9,109,11,10.09174312,89.90825688
dapt,15,4,10,122,31,25.40983607,74.59016393
dapt,15,4,11,150,13,8.666666667,91.33333333
dapt,15,4,12,119,34,28.57142857,71.42857143
dapt,15,4,13,135,10,7.407407407,92.59259259
dapt,15,4,14,213,57,26.76056338,73.23943662
dapt,15,4,15,121,30,24.79338843,75.20661157
dapt,15,4,16,145,30,20.68965517,79.31034483
dapt,15,4,17,93,39,41.93548387,58.06451613
dapt,15,4,18,142,42,29.57746479,70.42253521
dapt,15,4,19,129,40,31.00775194,68.99224806
dapt,15,4,20,156,9,5.769230769,94.23076923
dapt,15,4,21,179,167,93.29608939,6.703910615
dapt,15,4,22,142,120,84.50704225,15.49295775
dapt,15,4,23,121,22,18.18181818,81.81818182
dapt,15,4,24,88,76,86.36363636,13.63636364
dapt,15,4,25,76,43,56.57894737,43.42105263
dapt,15,4,26,60,36,60,40
dapt,15,4,27,87,19,21.83908046,78.16091954
dapt,15,4,28,100,22,22,78
dapt,15,4,29,123,68,55.28455285,44.71544715
dapt,15,4,30,31,19,61.29032258,38.70967742
dapt,22,4,1,64,10,15.625,84.375
dapt,22,4,2,143,80,55.94405594,44.05594406
dapt,22,4,3,112,67,59.82142857,40.17857143
dapt,22,4,4,94,61,64.89361702,35.10638298
dapt,22,4,5,84,46,54.76190476,45.23809524
dapt,22,4,6,112,82,73.21428571,26.78571429
dapt,22,4,7,146,66,45.20547945,54.79452055
dapt,22,4,8,47,10,21.27659574,78.72340426
dapt,22,4,9,92,10,10.86956522,89.13043478
dapt,22,4,10,51,12,23.52941176,76.47058824
dapt,22,4,11,80,22,27.5,72.5
dapt,22,4,12,75,19,25.33333333,74.66666667
dapt,22,4,13,145,52,35.86206897,64.13793103
dapt,22,4,14,73,16,21.91780822,78.08219178
dapt,22,4,15,118,40,33.89830508,66.10169492
dmso,15,5,1,437,48,10.98398169,89.01601831
dmso,15,5,2,149,19,12.75167785,87.24832215
dmso,15,5,3,156,16,10.25641026,89.74358974
dmso,15,5,4,204,24,11.76470588,88.23529412
dmso,15,5,5,170,27,15.88235294,84.11764706
dmso,15,5,6,204,49,24.01960784,75.98039216
dmso,15,5,7,161,30,18.63354037,81.36645963
dmso,15,5,8,163,28,17.17791411,82.82208589
dmso,15,5,9,161,35,21.73913043,78.26086957
dmso,15,5,10,169,34,20.1183432,79.8816568
dmso,15,5,11,181,29,16.02209945,83.97790055
dmso,15,5,12,139,52,37.41007194,62.58992806
dmso,15,5,13,162,38,23.45679012,76.54320988
dmso,15,5,14,170,30,17.64705882,82.35294118
dmso,15,5,15,147,17,11.56462585,88.43537415
dmso,22,5,1,129,44,34.10852713,65.89147287
dmso,22,5,2,205,24,11.70731707,88.29268293
dmso,22,5,3,89,25,28.08988764,71.91011236
dmso,22,5,4,50,20,40,60
dmso,22,5,5,81,33,40.74074074,59.25925926
dmso,22,5,6,56,19,33.92857143,66.07142857
dmso,22,5,7,50,40,80,20
dmso,22,5,8,316,59,18.67088608,81.32911392
dmso,22,5,9,96,41,42.70833333,57.29166667
dmso,22,5,10,42,24,57.14285714,42.85714286
dmso,22,5,11,55,20,36.36363636,63.63636364
dmso,22,5,12,52,30,57.69230769,42.30769231
dmso,22,5,13,60,26,43.33333333,56.66666667
dmso,22,5,14,74,54,72.97297297,27.02702703
dmso,22,5,15,35,25,71.42857143,28.57142857
dapt,15,5,1,159,66,41.50943396,58.49056604
dapt,15,5,2,147,73,49.65986395,50.34013605
dapt,15,5,3,112,77,68.75,31.25
dapt,15,5,4,141,31,21.9858156,78.0141844
